type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,0,441118,535629,176397,29689,36508,147276,15490,258,88,8144,321707,80.74,0.48,18.79
2s,2_4,0,436182,534249,175970,29689,36508,147264,15490,258,88,7790,328816,80.34,0.45,19.2
2s,2_5,0,431246,532869,175543,29689,36508,147252,15490,258,88,7478,335883,79.95,0.44,19.62
2s,2_6,0,452897,543192,178797,29689,36508,147267,15491,258,88,6871,301246,82.01,0.4,17.59
2s,2_7,0,465237,551316,178797,28218,36508,147273,15491,258,88,6916,282202,83.12,0.4,16.48
2s,2_8,0,465985,551877,175970,26747,36508,147252,15490,258,88,6821,285308,82.94,0.4,16.66
2s,2_9,0,472554,553818,173570,25276,36508,147231,15489,258,88,6924,280588,83.21,0.4,16.39
2s,2_T,0,479310,555759,170743,23618,36508,147210,15488,258,88,7030,276292,83.45,0.41,16.14
2s,2_J,0,599622,651051,108450,0,36868,100646,0,258,88,42437,172884,87.43,2.48,10.1
2s,2_Q,0,350691,436212,173997,25276,36508,141573,15176,258,88,7056,525469,68.9,0.41,30.69
2s,2_K,0,345568,434832,176824,26747,36508,141582,15177,258,88,6982,527738,68.77,0.41,30.82
2s,2_A,0,328105,425328,176824,28218,36508,141564,15177,258,88,6856,553378,67.28,0.4,32.32
2s,3_4,0,420352,525306,173143,29689,36508,147225,15489,258,88,7615,356631,78.73,0.44,20.83
2s,3_5,0,415416,523926,172716,29689,36508,147213,15489,258,88,7318,363683,78.33,0.43,21.24
2s,3_6,0,437067,534249,175970,29689,36508,147228,15490,258,88,6711,329046,80.39,0.39,19.22
2s,3_7,0,449407,542373,175970,28218,36508,147234,15490,258,88,6756,310002,81.5,0.39,18.1
2s,3_8,0,465985,551877,175970,26747,36508,147240,15490,258,88,6821,285320,82.94,0.4,16.66
2s,3_9,0,467618,552438,173143,25276,36508,147219,15489,258,88,6736,287531,82.81,0.39,16.79
2s,3_T,0,474374,554379,170316,23618,36508,147198,15488,258,88,6842,283235,83.06,0.4,16.54
2s,3_J,0,594499,649671,108210,0,36868,100634,0,258,88,42249,179827,87.03,2.47,10.5
2s,3_Q,0,346453,434832,173570,25276,36508,141561,15176,258,88,6868,531714,68.55,0.4,31.05
2s,3_K,0,341330,433452,176397,26747,36508,141570,15177,258,88,6794,533983,68.42,0.4,31.19
2s,3_A,0,323867,423948,176397,28218,36508,141552,15177,258,88,6668,559623,66.93,0.39,32.68
2s,4_5,0,399586,514983,169889,29689,36508,147174,15488,258,88,7148,391493,76.72,0.42,22.86
2s,4_6,0,421237,525306,173143,29689,36508,147189,15489,258,88,6551,356846,78.78,0.38,20.84
2s,4_7,0,433577,533430,173143,28218,36508,147195,15489,258,88,6596,337802,79.89,0.39,19.73
2s,4_8,0,450155,542934,173143,26747,36508,147201,15489,258,88,6661,313120,81.32,0.39,18.29
2s,4_9,0,467618,552438,173143,25276,36508,147207,15489,258,88,6736,287543,82.81,0.39,16.79
2s,4_T,0,469438,552999,169889,23618,36508,147186,15488,258,88,6654,290178,82.66,0.39,16.95
2s,4_J,0,589376,648291,107970,0,36868,100622,0,258,88,42061,186770,86.64,2.46,10.91
2s,4_Q,0,342215,433452,173143,25276,36508,141549,15176,258,88,6680,537959,68.19,0.39,31.42
2s,4_K,0,337092,432072,175970,26747,36508,141558,15177,258,88,6606,540228,68.06,0.39,31.55
2s,4_A,0,319629,422568,175970,28218,36508,141540,15177,258,88,6480,565868,66.57,0.38,33.05
2s,5_6,0,405407,516363,170316,29689,36508,147150,15488,258,88,6385,384652,77.16,0.37,22.46
2s,5_7,0,417747,524487,170316,28218,36508,147156,15488,258,88,6436,365602,78.27,0.38,21.35
2s,5_8,0,434325,533991,170316,26747,36508,147162,15488,258,88,6501,340920,79.71,0.38,19.91
2s,5_9,0,451788,543495,170316,25276,36508,147168,15488,258,88,6576,315343,81.2,0.38,18.42
2s,5_T,0,469438,552999,169889,23618,36508,147174,15488,258,88,6654,290190,82.66,0.39,16.95
2s,5_J,0,584253,646911,107730,0,36868,100610,0,258,88,41873,193713,86.24,2.45,11.31
2s,5_Q,0,337977,432072,172716,25276,36508,141537,15176,258,88,6492,544204,67.84,0.38,31.78
2s,5_K,0,332854,430692,175543,26747,36508,141546,15177,258,88,6418,546473,67.71,0.37,31.91
2s,5_A,0,315391,421188,175543,28218,36508,141528,15177,258,88,6292,572113,66.22,0.37,33.41
2s,6_7,0,411228,517743,170743,28218,36508,147126,15488,258,88,5735,379169,77.52,0.33,22.14
2s,6_8,0,423568,525867,170743,26747,36508,147132,15488,258,88,5804,360101,78.63,0.34,21.03
2s,6_9,0,440146,535371,170743,25276,36508,147138,15488,258,88,5879,335409,80.07,0.34,19.59
2s,6_T,0,457796,544875,170316,23618,36508,147144,15488,258,88,5957,310256,81.53,0.35,18.12
2s,6_J,0,590261,648291,107970,0,36868,100598,0,258,88,41176,186794,86.69,2.4,10.91
2s,6_Q,0,343100,433452,173143,25276,36508,141525,15176,258,88,5794,537984,68.24,0.34,31.42
2s,6_K,0,337977,432072,175970,26747,36508,141534,15177,258,88,5720,540253,68.11,0.33,31.55
2s,6_A,0,332854,430692,178797,28218,36508,141543,15178,258,88,5753,542415,67.99,0.34,31.68
2s,7_8,0,428504,526827,160339,25203,36516,146841,15446,258,88,5918,366364,78.26,0.35,21.4
2s,7_9,0,445082,536331,160339,23732,36516,146847,15446,258,88,5994,341671,79.7,0.35,19.95
2s,7_T,0,462732,545835,159912,22074,36516,146853,15446,258,88,6072,316518,81.16,0.35,18.48
2s,7_J,0,577921,640167,106584,0,36868,100568,0,258,88,39811,210039,85.41,2.32,12.27
2s,7_Q,0,343150,434013,173570,23778,36508,141513,15176,258,88,5981,538269,68.22,0.35,31.44
2s,7_K,0,338725,432633,173570,25276,36508,141513,15176,258,88,5825,542732,67.96,0.34,31.7
2s,7_A,0,329364,429873,175970,26747,36508,141522,15177,258,88,5671,551126,67.48,0.33,32.19
2s,8_9,0,453508,538110,149935,22188,36524,146556,15404,258,88,6110,343623,79.58,0.36,20.07
2s,8_T,0,471158,547614,149508,20530,36524,146562,15404,258,88,6188,318470,81.04,0.36,18.6
2s,8_J,0,565581,632043,105198,0,36868,100538,0,258,88,38447,233283,84.13,2.25,13.62
2s,8_Q,0,347388,435393,163166,22234,36516,141222,15134,258,88,6097,544808,67.83,0.36,31.82
2s,8_K,0,343200,434574,173997,23778,36508,141501,15176,258,88,6013,537211,68.28,0.35,31.37
2s,8_A,0,333652,431814,173570,25276,36508,141501,15176,258,88,5777,548684,67.62,0.34,32.04
2s,9_T,0,480282,549393,139104,18986,36532,146271,15362,258,88,6304,319724,80.96,0.37,18.67
2s,9_J,0,553241,624054,103812,0,36868,100508,0,258,88,36948,256527,82.86,2.16,14.98
2s,9_Q,0,351626,436773,152762,20690,36524,140931,15092,258,88,6213,551347,67.44,0.36,32.2
2s,9_K,0,347438,435954,163593,22234,36516,141210,15134,258,88,6129,543750,67.89,0.36,31.76
2s,9_A,0,339012,433755,173997,23778,36508,141489,15176,258,88,5965,542278,67.98,0.35,31.67
2s,T_J,0,534893,614955,102186,0,36868,100478,0,258,88,34992,287586,81.16,2.04,16.8
2s,T_Q,0,355864,438153,139104,18986,36532,140631,15049,258,88,6329,561310,66.85,0.37,32.78
2s,T_K,0,351676,437334,149935,20530,36524,140910,15091,258,88,6245,553713,67.3,0.36,32.34
2s,T_A,0,343250,435135,160339,22074,36516,141189,15133,258,88,6081,552241,67.39,0.36,32.25
2s,J_Q,0,342495,489570,104052,0,36868,92754,0,258,88,25698,620521,62.26,1.5,36.24
2s,J_K,0,355770,498255,105678,0,36868,92772,0,258,88,27090,595525,63.64,1.58,34.78
2s,J_A,0,364620,505560,107064,0,36868,92790,0,258,88,28402,576654,64.66,1.66,33.68
2s,Q_K,0,213285,337020,153189,22188,36524,135711,15091,258,88,6582,792368,53.34,0.38,46.27
2s,Q_A,0,209745,335640,163593,23732,36516,135990,15133,258,88,6418,785191,53.77,0.37,45.86
