type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1s,2_3,0,459480,543528,195034,15532,25950,147708,15562,86,88,9235,300101,81.93,0.54,17.53
1s,2_4,0,454456,542136,194552,15532,25908,147696,15562,86,88,9046,307242,81.53,0.53,17.94
1s,2_5,0,449432,540744,194070,15532,25866,147684,15562,86,88,8857,314383,81.12,0.52,18.36
1s,2_6,0,466452,549765,197228,15532,26067,147699,15563,86,88,8117,285707,82.84,0.47,16.69
1s,2_7,0,477548,557394,199904,15532,26225,147714,15564,86,88,8089,264160,84.1,0.47,15.43
1s,2_8,0,477548,557394,199904,15532,26225,147702,15564,86,88,8089,264172,84.1,0.47,15.43
1s,2_9,0,479012,557958,197228,14054,26267,147690,15564,43,88,8170,266230,83.97,0.48,15.55
1s,2_T,0,484976,559914,194070,12388,26352,147678,15564,43,44,8251,263024,84.16,0.48,15.36
1s,2_J,0,490000,561306,194552,12388,26394,147666,15564,43,44,8440,255907,84.56,0.49,14.95
1s,2_Q,0,495024,562698,195034,12388,26436,147654,15564,43,44,8629,248790,84.97,0.5,14.53
1s,2_A,0,342724,432771,195516,14054,18338,142053,15178,87,44,8753,542786,67.79,0.51,31.7
1s,3_4,0,438336,533115,191394,15532,25708,147657,15561,86,88,8885,335942,79.86,0.52,19.62
1s,3_5,0,433312,531723,190912,15532,25666,147645,15561,86,88,8696,343083,79.46,0.51,20.04
1s,3_6,0,450332,540744,194070,15532,25867,147660,15562,86,88,7956,314407,81.17,0.46,18.36
1s,3_7,0,461428,548373,196746,15532,26025,147675,15563,86,88,7928,292860,82.43,0.46,17.1
1s,3_8,0,477548,557394,199904,15532,26225,147690,15564,86,88,8089,264184,84.1,0.47,15.43
1s,3_9,0,473988,556566,196746,14054,26225,147678,15564,43,88,7981,273371,83.57,0.47,15.97
1s,3_T,0,479952,558522,193588,12388,26310,147666,15564,43,44,8062,270165,83.75,0.47,15.78
1s,3_J,0,484976,559914,194070,12388,26352,147654,15564,43,44,8251,263048,84.16,0.48,15.36
1s,3_Q,0,490000,561306,194552,12388,26394,147642,15564,43,44,8440,255931,84.56,0.49,14.95
1s,3_A,0,338412,431379,195034,14054,18338,142041,15178,87,44,8564,549173,67.43,0.5,32.07
1s,4_5,0,417192,522702,187754,15532,25466,147606,15560,86,88,8535,371783,77.79,0.5,21.71
1s,4_6,0,434212,531723,190912,15532,25667,147621,15561,86,88,7795,343107,79.51,0.46,20.04
1s,4_7,0,445308,539352,193588,15532,25825,147636,15562,86,88,7767,321560,80.77,0.45,18.78
1s,4_8,0,461428,548373,196746,15532,26025,147651,15563,86,88,7928,292884,82.43,0.46,17.1
