type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,79605,487206,338979,67260,65814,65217,38316,2349,86,990,11423,555059,66.92,0.67,32.42
ssame,2_4,76860,484350,338115,67260,65814,65175,38316,2349,86,990,11221,561768,66.54,0.66,32.81
ssame,2_5,74115,481494,337359,67260,65814,65133,38316,2349,86,990,11019,568369,66.16,0.64,33.19
ssame,2_6,74115,499152,347379,68682,61569,65133,38316,2349,86,990,10578,543955,67.61,0.62,31.77
ssame,2_7,83265,505770,346680,68865,65895,66079,38316,2349,43,990,10404,523648,68.81,0.61,30.58
ssame,2_8,86010,503304,344847,68676,64437,66121,38316,2349,0,990,10230,527024,68.62,0.6,30.78
ssame,2_9,88755,506160,344523,68676,64437,66163,38316,2349,0,990,10408,521527,68.93,0.61,30.46
ssame,2_T,105225,515592,339903,68760,54462,67195,38316,2349,0,0,10451,510051,69.6,0.61,29.79
ssame,2_Q,104310,478050,324726,68949,56109,67194,37626,2349,44,0,10779,562168,66.54,0.63,32.83
ssame,2_K,100650,479952,326127,69138,57567,67151,37626,2349,87,0,10929,560728,66.61,0.64,32.75
ssame,3_4,71370,470670,334608,66699,65814,64272,38316,2349,86,990,11047,586083,65.13,0.65,34.23
ssame,3_5,68625,467814,333852,66699,65814,64230,38316,2349,86,990,10845,592684,64.75,0.63,34.61
ssame,3_6,68625,485472,343872,68121,61569,64230,38316,2349,86,990,10404,568270,66.2,0.61,33.19
ssame,3_7,77775,492090,343173,68304,65895,65176,38316,2349,43,990,10230,547963,67.4,0.6,32.0
ssame,3_8,86010,503304,343983,68676,64437,66121,38316,2349,0,990,10218,527900,68.57,0.6,30.83
ssame,3_9,86010,503304,343659,68676,64437,66121,38316,2349,0,990,10206,528236,68.55,0.6,30.85
